"Guid","Description","OpportunityId","Product2Id","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
001bc9e2-179a-45c6-a9e4-572ef1078877,"#N/A",d1658262-b4ba-4c8c-b86b-cbc0edf39f98,417c0668-18c6-401b-a44d-1e1cd1f37fb6,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00425a82-a70c-4a7b-a10d-f5c6baff1e09,"#N/A",13a77775-b2df-4ec8-b12b-b826a39c9cc4,9475e6fe-7e77-4c52-86d3-b323f42f5a80,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
0042d919-c684-4809-a070-3f759ce80ef2,"#N/A",29088fe5-d6f8-4e2b-87f1-dc491d167202,b26bb6f4-3be7-4132-a1bf-a16dd91229e9,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
004cee47-672f-40c6-8653-0ac6cf6d14b6,"#N/A",90193b62-e6ae-4d61-a4bf-dcf469c84cbd,c900e94a-97b7-4fc9-9244-5761f5ccf205,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
004e3d15-4e25-41e5-8a66-ae33c827130f,"#N/A",6513b41b-c4d1-49dd-abe1-b3ef66d42a30,fbe8b869-1072-497c-bd66-937d87f7fa18,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
00655ead-586f-48e9-82f4-30a16e48ed62,"#N/A",83c410a5-afd3-4854-b7e9-466662be83d9,48a73c92-ddc3-4eda-ad20-10a15fa51489,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
00714fee-6889-4606-9437-7204868f4935,"#N/A",f1405685-cf8c-4fcb-b39d-2993d57b70b6,fbe8b869-1072-497c-bd66-937d87f7fa18,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
007544ea-0f78-42b0-b98c-673796eb8922,"#N/A",9cde89d0-29ee-450a-936f-1bcdda095b34,0d4d6d1b-7a6c-49ea-b2d4-76d9815c584c,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00761162-2af5-4b2a-bd68-b00b5b273665,"#N/A",d217bf20-c63e-498d-bbca-dfd359ddae8d,a8deab44-2777-4fc5-a9e3-c86b0d17f053,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
007dc4f9-8216-4711-9be3-3bbd5f475552,"#N/A",978b101b-1315-487f-a322-64d25981113a,60520861-dda2-4901-b228-998dde9c2b89,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
00981236-869f-44a6-bfab-b9edb5399b2f,"#N/A",de5c4302-94e0-4275-a7bf-6d6f16ef7874,65a9bf02-1970-486c-9ad6-8de309b012f5,18.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4482.0,249.0,"#N/A"
00a5c6e9-267a-4501-be41-a2a109119d12,"#N/A",35de25dc-86ff-4066-a825-4c63e8e3d775,2eea59a3-225c-4cb4-8485-d192cb10f217,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
00a92b06-5440-4ef9-a6e7-252eb9a0d579,"#N/A",5aa65ff7-f5ae-498b-a261-e4f0fbc88728,441041b0-6176-433c-8cf6-459548ba2bcf,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
00b6d609-02f6-4f64-8e8c-e9009f3ab014,"#N/A",f8fc6421-eba4-4004-b58b-6eb5f2e490a4,2e2d3acb-b203-4266-b80b-0ee676a08e48,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00c9f251-e232-4c63-943e-cc809549235b,"#N/A",1d5711b6-504b-4c22-af9a-b1162cd51376,0d4d6d1b-7a6c-49ea-b2d4-76d9815c584c,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
